12:50 12-12-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', '50a28676-5e1b-466b-ac1c-d1e8b0551011', '0.0.0.0', '40:91:51:9A:01:84', 'touched and 2.5*C warmer', 28]
10:25 18-12-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', 'c1ac11a9-dc44-46c9-a990-ee2ac711e9c6', '192.168.4.101', '08:3A:F2:99:25:14', 756210303, 125, 'tandb\xf8rste var muligvis ikke holdt i h\xe5nd']
10:27 18-12-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', 'c1ac11a9-dc44-46c9-a990-ee2ac711e9c6', '192.168.4.101', '08:3A:F2:99:25:14', 756210424, 28, 'tandb\xf8rste var muligvis ikke holdt i h\xe5nd']
10:29 18-12-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', 'c1ac11a9-dc44-46c9-a990-ee2ac711e9c6', '192.168.4.101', '08:3A:F2:99:25:14', 756210578, 28, 'tandb\xf8rste ber\xf8rt og 0.1799927*C varmere']
10:37 18-12-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', 'c1ac11a9-dc44-46c9-a990-ee2ac711e9c6', '192.168.4.101', '08:3A:F2:99:25:14', 756211049, 31, 'tandb\xf8rste ber\xf8rt og 4.100006*C varmere']
10:41 18-12-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', 'c1ac11a9-dc44-46c9-a990-ee2ac711e9c6', '192.168.4.101', '08:3A:F2:99:25:14', 756211280, 24, 'tandb\xf8rste var muligvis ikke holdt i h\xe5nd']
11:47 18-12-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', 'c1ac11a9-dc44-46c9-a990-ee2ac711e9c6', '0.0.0.0', '08:3A:F2:99:25:14', 756215275, 756215274, 'tandb\xf8rste var muligvis ikke holdt i h\xe5nd']
11:47 18-12-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', 'c1ac11a9-dc44-46c9-a990-ee2ac711e9c6', '0.0.0.0', '08:3A:F2:99:25:14', 756215276, 756215275, 'tandb\xf8rste var muligvis ikke holdt i h\xe5nd']
11:47 18-12-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', 'c1ac11a9-dc44-46c9-a990-ee2ac711e9c6', '0.0.0.0', '08:3A:F2:99:25:14', 756215276, 756215276, 'tandb\xf8rste var muligvis ikke holdt i h\xe5nd']
11:47 18-12-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', 'c1ac11a9-dc44-46c9-a990-ee2ac711e9c6', '0.0.0.0', '08:3A:F2:99:25:14', 756215277, 756215277, 'tandb\xf8rste var muligvis ikke holdt i h\xe5nd']
11:50 18-12-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', 'c1ac11a9-dc44-46c9-a990-ee2ac711e9c6', '0.0.0.0', '08:3A:F2:99:25:14', 756215432, 756215431, 'tandb\xf8rste var muligvis ikke holdt i h\xe5nd']
11:50 18-12-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', 'c1ac11a9-dc44-46c9-a990-ee2ac711e9c6', '0.0.0.0', '08:3A:F2:99:25:14', 756215433, 756215432, 'tandb\xf8rste var muligvis ikke holdt i h\xe5nd']
13:02 18-12-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', '4a8e5bf7-b83d-4d90-9f0c-c3fab3c2ce6b', '192.168.4.100', '08:3A:F2:99:25:14', 756219705, 26, 'tandb\xf8rste var muligvis ikke holdt i h\xe5nd']
13:03 18-12-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', '4a8e5bf7-b83d-4d90-9f0c-c3fab3c2ce6b', '192.168.4.100', '08:3A:F2:99:25:14', 756219767, 28, 'tandb\xf8rste var muligvis ikke holdt i h\xe5nd']
13:07 18-12-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', '4a8e5bf7-b83d-4d90-9f0c-c3fab3c2ce6b', '192.168.4.100', '08:3A:F2:99:25:14', 756220025, 26, 'tandb\xf8rste ber\xf8rt og 1.720001*C varmere']
13:11 18-12-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', '4a8e5bf7-b83d-4d90-9f0c-c3fab3c2ce6b', '192.168.4.100', '08:3A:F2:99:25:14', 756220247, 30, 'tandb\xf8rste ber\xf8rt og 1.800018*C varmere']
13:15 18-12-2023: ['a4a6d723-8ece-4c24-b662-0285cf9f1e50', '4a8e5bf7-b83d-4d90-9f0c-c3fab3c2ce6b', '192.168.4.100', '08:3A:F2:99:25:14', 756220532, 42, 'tandb\xf8rste ber\xf8rt og 1.119995*C varmere']
